category,subcategory,product,vegan,glutenfree,ketofriendly,vegetarian,organic,dairyfree,sugarconscious,paleofriendly,wholefoodsdiet,lowsodium,kosher,lowfat,engine2,price,caloriesperserving,servingsize,servingsizeunits,totalsize,totalsizeunits,totalsecondarysize,secondarysizeunits,local
Produce,Fresh Vegetables,Organic Yellow Bell Pepper,1,1,1,1,1,1,1,1,1,1,0,1,1,399,12,46,g,46,g,46,g,0
Produce,Fresh Fruits,Red Cherries,1,1,0,1,0,1,0,1,1,1,0,1,1,799,87,138,g,138,g,138,g,0
Produce,Fresh Herbs,Organic Mint Bunch,1,1,1,1,1,1,1,1,1,1,0,1,1,199,5,11,g,11,g,11,g,0
Produce,Fresh Vegetables,Organic Red Cabbage,1,1,1,1,1,1,1,1,1,1,0,1,1,199,28,89,g,89,g,89,g,0
Produce,Fresh Vegetables,Organic Yellow Onion,1,1,1,1,1,1,1,1,1,1,0,1,1,249,32,80,g,80,g,80,g,0
Produce,Fresh Vegetables,Mini Cucumbers,1,1,1,1,0,1,1,1,1,1,0,1,1,299,16,53,g,106,g,106,g,0
Produce,Fresh Vegetables,Organic Radicchio,1,1,1,1,1,1,1,1,1,0,0,1,1,499,9,40,g,40,g,40,g,0
Produce,Fresh Fruits,Organic Minneola Tangelo,1,1,0,1,1,1,0,1,1,1,0,1,1,299,47,88,g,88,g,88,g,0
Produce,Fresh Fruits,Organic Large Hass Avocados,1,1,1,1,1,1,1,1,1,1,0,1,1,299,80,50,g,200,g,200,g,0
Produce,Fresh Vegetables,Morel Mushrooms,1,1,1,1,0,1,0,1,1,1,0,1,1,2349,25,7,g,14,g,14,g,0
Produce,Fresh Vegetables,Organic Butternut Squash,1,1,0,1,1,1,1,1,1,1,0,1,1,199,63,140,g,140,g,140,g,0
Produce,Fresh Fruits,Organic Blackberries,1,1,1,1,1,1,0,1,1,1,0,1,1,599,62,144,g,144,g,144,g,0
Produce,Fresh Fruits,Lime,1,1,1,1,0,1,1,1,1,1,0,1,1,69,20,67,g,67,g,67,g,0
Produce,Fresh Fruits,Bagged Lemons,1,1,1,1,0,1,1,1,1,1,0,1,1,399,17,58,g,907,g,907,g,0
Produce,Fresh Vegetables,Organic Leeks,1,1,1,1,1,1,1,1,1,1,0,1,1,299,54,89,g,89,g,89,g,0
Produce,Fresh Vegetables,Macho Plantain Bananas,1,1,0,1,0,1,0,1,1,1,0,1,1,99,181,148,g,148,g,148,g,0
Produce,Fresh Vegetables,Organic Produce - Packaged Vegetables Garlic - Peeled,1,1,1,1,1,1,0,1,1,1,1,1,1,399,5,4,g,172,g,172,g,0
Produce,Fresh Fruits,Organic Blueberries Pint,1,1,1,1,1,1,0,1,1,1,0,1,1,499,84,148,g,148,g,148,g,0
Produce,Fresh Vegetables,Organic Garnet Sweet Potato,1,1,0,1,1,1,0,1,1,1,0,1,1,249,112,130,g,130,g,130,g,0
Produce,Fresh Vegetables,Slicing Cucumbers,1,1,1,1,0,1,1,1,1,1,0,1,1,500,8,52,g,104,g,104,g,0
